25 20
4 18
0 0
#############
#...........#    ########
#...s...s...######......#
#.............D.........#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #...r...#      #......#
  #.......#      #......#
  #.......#      #......#
  #....k..#      #......#
  #.u.....#      #......#
  #########       ######
